id,nama_sekolah,alamat,kontak,nspn
1,SMA Gilimandala,Jln. Kutilang,-,50103364
2,SMAN 1 Dawan,Jl. Raya Gunaksa,-,50103365
3,SMA Muhammadiyah 2,Jl.Camar Nomor 8,-,50100393
4,MA Manbaul Ulum,Jl. Gunung Agung  No.135,-,50100910
5,SMA PGRI Klungkung,Jln. N Plamboyant No. 57,-,50102382
6,SMA PGRI 1 Denpasar,Jl. T.Gerinding,-,50103175
7,SMA PGRI Gerokgak,Jalan Seririt - Gilimanuk,-,50100378
8,SMAN 1 Kubutambahan,Desa Tamblang. Kec. Kubutambahan,-,50100391
9,SMA Vijaya Kusuma,Jl. Letda Md. Putra Ps,-,50103128
10,SMA Dyatmika Denpasar,Jln.Pucuk Bang Br.Tangtu,-,50103182
11,SMA Dwijendra Denpasar,Jl. Kamboja Dps,-,50103183
12,SMAN 1 Singaraja,Jln Pramuka No. 4 Singaraja,-,50100337
13,SMA Saraswati Singaraja,Jln.Bisma No. 4 Singaraja,-,50100382
14,SMA Bhaktiyasa Singaraja,-,-,50100408
15,SMAN 1 Pekutatan,Jl. Pekutatan-Pupuan,-,50100842
16,MAN Mendoyo,Jl. Denpasar - Gilimanuk,-,50100911
17,SMA Parisada Amlapura,Jln. Ngurah Rai,-,50102786
18,SMA Lab IKIP N Singaraja,Jl.Udayana No.11 Singaraja,-,50100394
19,SMA Tunas Daud,Jl. Kebo Iwa Utara No. 8 Telp.(0361) 421 241,-,50103877
20,SMA Sutha Dharma,Jl. Denpasar-Gilimanuk,-,50100846
21,SMAN 4 Singaraja,Jalan Melati Singaraja,-,50100287
22,SMAN 5 Denpasar,Jl. Sanitasi No. 2 Sidakarya,-,50103122
23,SMA Udayana Tejakula,Desa Tejakula. Kec. Tejakula,-,50100386
24,SMAN 1 Melaya,Jl. Raya Negara - Gilimanuk,-,50100845
25,SMA PGRI Pekutatan,Jl. Arjuna No. 1,-,50100848
26,SMA Ngurah Rai Kerobokan,Jl. Raya Canggu-Kerobokan,-,50101697
27,SMA Pandawa Abiansemal,Jl. Abiansemal,-,50101698
28,SMA Dwijendra Bualu,Jl. By Pas Ngurah Rai,-,50101699
29,SMA TaMAN Sastra,Jl. By Pas Ngurah Rai,-,50101700
30,SMA Widya Berata,Jl. Gst. Ngr. Rai No.3 Mengwi,-,50101702
31,SMA Widya Buana,Jl. Raya Munggu,-,50101703
32,SMAN 1 Kuta,Jl. Kubu Anyar-Kuta,-,50101705
33,SMAN 1 Kuta Selatan,Jl. Ketut Jetung,-,50101706
34,SMA Ayodhya Pura Selat,Desa Selat. Kec. Sukasada. Kab. Buleleng,-,50100407
35,SMAN 2 Bangli,Jl. Nusantara. Kubu Bangli,-,50102575
36,SMAN 1 Banjar,-,-,50100388
37,SMAN 7 Denpasar,Jl. Kamboja No. 9 Denpasar,-,50103120
38,SMA Sumerta Denpasar,Jl. Akasia No. 16 Tanjung Bungkak,-,50103169
39,SMA Candimas,Pancasari,-,50100409
40,SMA PGRI 2 Gianyar,Jl. Astina Jaya Blahbatuh,-,50102093
41,SMAN 1 Tegallalang,Jl. I Wayan Lunga Tegallalang,-,50102094
42,MA 45 Gianyar,Jl. Astina Timur Gianyar,-,50102143
43,SMAN 1 Ubud,Jl. Suweta,-,50102004
44,SMA Saraswati Gianyar,Jl. Kesatrian No 28 Gianyar,-,50102074
45,SMA Saraswati Sukawati,Jl.Lettu Nengah Duaji Sukawati,-,50102075
46,SMA Sila Chandra Batubulan,Jl. Raya Batubulan,-,50102076
47,SMA WiyatadharMA Gianyar,Jl. Dalem Rai Gianyar,-,50102077
48,SMAN 1 Blahbatuh,Jl. Astina Jaya Blahbatuh,-,50102078
49,SMAN 1 Gianyar,Jl. Ratna Gianyar,-,50102079
50,SMAN 1 Payangan,Jl. Raya Payangan,-,50102080
51,SMAN 1 Sukawati,Jl. Lettu W. Suta Sukawati,-,50102081
52,SMAN 1 Tampaksiring,Jl. Pucak Tegeh Manukaya,-,50102082
53,SMA PGRI Gianyar 3 Ubud,Jl. Sukma,-,50102084
54,SMA Amarawati Tampaksiring,Jl. Surya Brata Tampaksiring,-,50102089
55,SMA Dwijendra Gianyar,Jl. Ratna Gianyar,-,50102090
56,SMA Kertha Wisata,Jl. A.A. Gde Rai Lodtunduh Ubud,-,50102091
57,SMAN 1 Abiansemal,Jl. Mojopahit Abiansemal,-,50101704
58,SMAN 2 Mengwi,Jl. Raya Munggu-Tanah Lot,-,50101684
59,SMAN 1 Mengwi,Jl. Gunung Agung Mengwi,-,50101695
60,SMAN 1 Kediri,Jl. Bingin Ambe,-,50101124
61,SMAN 1 Kerambitan,Kukuh,-,50101125
62,SMAN 1 Penebel,Jl. Pitera No. 49,-,50101126
63,SMA N 1 Petang,Desa Petang,-,50103610
64,MA Almaruf,Jl.Angsoka Cargo Permai,-,50103630
65,SMA Chis,Jl.Grya Anyar Pemogan,-,50103631
66,SMAN 8 Denpasar,Jl. Umadesa Peguyangan,-,50103632
67,SMA Sarasuwati Bangli,Jln. Letu Kanten,-,50103641
68,SMAN Bali Mandara (Sampoerna Academy) Bali,Jalan Air Sanih,-,50105492
69,SMK Erlangga Denpasar,Jl. Akasia No. 16 Tanjung Bungkak,-,50105501
70,SMK Negeri 1 Sawan,Desa Menyali,-,50105503
71,Smak Global Tourism Anugrah,Jl. Diponogoro 170 Denpasar,-,50105504
72,SMA Doremi Excellent School,Jl. Tukad Badung No. 88 Denpasar,-,50105505
73,SMK 1 Tembuku,Jl. Raya Besakih,-,50105524
74,MA Al - Iman,Desa Pegayaman,-,50105532
75,SMK Kesehatan Bhaktiyasa,Jalan Ngurah Rai No 29 Singaraja - Bali,-,50105533
76,SMA Satu Atap Klumpu,Br. Tiagan,-,50105536
77,SMK Tp 45 Tabanan,Jl.Gunung Agung No. 77,-,50105537
78,SMAN 2 Singaraja,Jl. Srikandi-Singaraja,-,50100285
79,SMA Tp 45 Denpasar,Jl. Gadung No. 32 Dps,-,50103148
80,SMA Saraswati 1 Denpasar,Jl. Kamboja,-,50103170
81,SMAN 1 Busungbiu,Jl.Amerta No.Xx Busungbiu,-,50100389
82,SMA Karya Wisata Singaraja,Jalan Samratulangi Penarukan - Singaraja,-,50100395
83,SMAN 1 Nusa Penida,Jln. N Pendidikan,-,50102378
84,SMA TaMAN RaMA Denpasar,Jl.Cokroaminoto No.382 Dps,-,50103149
85,SMAN 1 Banjarangkan,Ds. Tusan,-,50102379
86,SMA Tp.45 Busungbiu,Desa Tista . Kec. Busungbiu,-,50100385
87,SMAN 1 Sawan,Jl. Raya Abasan. Desa Sangsit,-,50100392
88,SMA K Santo Paulus Sgr,Jl.Kartini No. 1 Singaraja,-,50100411
89,SMAN 4 Denpasar,Jl. Gn.Rinjani Perumnas Dps,-,50103124
90,SMA Dharma Praja Badung,Jl.Gatot Subroto Niti Praja Lumintang,-,50103185
91,SMA Sidhi Karya Kubutambahan,Desa Kubutambahan Kec. Kubutambahan,-,50100383
92,SMAN 1 Bangli,Jl. Brigjen Ngr Rai No. 36 Bangli,-,50102568
93,SMAN 1 Tembuku,Tembuku,-,50102576
94,SMA PGRI 2 Denpasar,Jl. Gn.Rinjani Gg.Gn.Patuha V,-,50103173
95,SMA Katolik Santo Yoseph Denpasar,Jl. Serma Kawi 4 Dps,-,50103181
96,SMA Negeri 2 Kuta,Jl. Pura Dalem Kedonganan Kuta Badung Bali,-,50101694
97,SMA Budi UtaMA Kerobokan,Jl. Gn. Sanghyang,-,50101665
98,Smak Thomas Aquino,Tangeb,-,50101667
99,SMA PGRI 6 Denpasar,Jl. Merdeka X No.6 Dps,-,50103171
100,SMA Katolik Soverdi,Jl. Komplek Burung No. 46 Tuban,-,50101682
101,SMA Kuta Pura,Jl. Dewi Sartika-Kuta,-,50101683
102,SMAN 1 Kuta Utara,Jl. I Made Bulet-Dalung,-,50101696
103,SMAN 1 Sukasada,Jl.Gelatik Gingsir 26 Sukasada,-,50100262
104,SMAN 2 Denpasar,Jl.Jendral Sudirman Dps,-,50103126
105,SMA Negeri 3 Amlapura,Desa Seraya,-,50103361
106,SMAN 1 Tejakula,Desa Tejakula.Kec.Tejakula. Kab.Buleleng,-,50100282
107,SMAN 2 Banjar,Ds.Banjaar.Kec.Banjar.Kab.Bll,-,50100283
108,SMAN 2 Busungbiu,Desa Pucaksari. Kec. Busungbiu,-,50100284
109,SMAN 3 Singaraja,Jln. P. Natuna Singaraja,-,50100286
110,SMA Saraswati Seririt,Jalan Jenderal Sudirman  Seririt,-,50100381
111,SMA PGRI Busungbiu,Desa Sepang. Kec. Busungbiu. Kab. Buleleng,-,50100377
112,SMA PGRI Sawan,Jalan Raya Singaraja -  Amlapura,-,50100379
113,SMA PGRI Seririt,Jalan Diponegoro No. 100 Seririt,-,50100380
114,SMA Yudha DharMA 46 Bondalem,Jl.Pahlawan No. 34 Bondalem,-,50100387
115,SMA Taruna Panji Sakti Singaraja,Jalan Pramuka No. 5 Singaraja,-,50100384
116,SMA Dwijendra Singaraja,Jl.Kresna No. 5 Sgr,-,50100410
117,SMAN 1 Seririt,Jl.Diponegoro No. 100 Seririt,-,50100412
118,SMAN 1 Gerokgak,-,-,50100390
119,MA Sunan Ampel,Sumberkima,-,50100510
120,MAN 1 Patas,Patas Kec. Gerokgak,-,50100490
121,SMA Ngurah Rai Negara,Jln. Wibisana,-,50100850
122,SMAN 2 Negara,Jl. Sugianyar Civic Center,-,50100824
123,SMA Saraswati Melaya,Jl. Raya Negara Gilimanuk,-,50100853
124,SMA Saraswati Negara,Jl. Gajah Mada Sebual,-,50100847
125,SMAN 1 Mendoyo,Jl. Semanggong,-,50100844
126,SMA Bina Ilmu Negara,Jendral Sudirman Negara,-,50100852
127,MAN Negara,Jl. Ngurah Rai No. 103,-,50100929
128,SMAN 2 Semarapura,Jln. Dewi Sartika,-,50102365
129,SMAN 1Semarapura,Jln. N Plamboyant No 63,-,50102366
130,SMA Pariwisata PGRI Dawan,Jln. N Sawo Kabeh,-,50102384
131,SMA Pariwisata Saraswati,Jln. N Cokroaminoto No. 11,-,50102383
132,SMA Wisatadarma,Ds. Lembongan,-,50102380
133,SMA PGRI Nusa Penida,Ds. Sampalan,-,50102381
134,MA Diponegoro,Jl. Gajah Mada No. 60 A,-,50102431
135,SMAN 1 Kintamani,Jl.Yudistira. Bayunggede.Kintamani,-,50102578
136,SMA UtaMA W DharMA Bangli,Bangli,-,50102566
137,SMAN 1 Susut,Jl. Putra Yuana. Susut. Bangli,-,50102577
138,SMA Negeri 1 Sidemen,Banyucampah Sidemen,-,50102780
139,SMA Negeri 1 Selat,Bangbangbiaung,-,50102781
140,SMA Negeri 1 Amlapura,Jln. Ngurah Rai No. 56 Amlapura,-,50102790
141,SMA Negeri 2 Amlapura,Jln. Untung Surapati Amlapura,-,50102779
142,MAN Amlapura,Jl. Bukit Catu Subagan,-,50102902
143,SMA Nasional,Jl. Waturenggong 125 Dps,-,50103119
144,SMAN 1 Denpasar,Jl.Kamboja Denpasar,-,50103127
145,SMAN 6 Denpasar,Jl. Raya Sanur Denpasar,-,50103121
146,SMAN 3 Denpasar,Jl. Nusa Indah No. 20 X Dps,-,50103125
147,SMA Dharma Wiweka Denpasar,Jl. P.Moyo I Pedungan Dps,-,50103184
148,SMA Kristen Harapan,Jl. Raya Sesetan No. 62,-,50103179
149,SMA Kertha Wisata Denpasar,Jl. Tukad Balian No. 15 Dps,-,50103180
150,SMA Pembangunan Denpasar,Jl. Sari Gading No. 2,-,50103177
151,SMA PGRI 4 Denpasar,Jl. Kamboja No 9 Denpasar,-,50103172
152,SMA Muhamadyah 1 Denpasar,Jl.P.Batanta Denpasar,-,50103178
153,SMA Perintis Denpasar,Jl. Kamboja Denpasar,-,50103176
154,SMA 2 Tp 45 Tabanan,Jl. Gunung Agung No. 77 Tabanan,-,50103437
155,SMA Kertha Wisata Tabanan,Jl. Mawar No. 48 Tabanan,-,50101100
156,SMAN 2 Tabanan,Jl. Mawar. Gerokgak. Tabanan,-,50101101
157,SMAN 1 Tabanan,Jln. Gunung Agung No. 122. Tabanan,-,50101121
158,SMAN 1 Selemadeg,Jl. Gelogor. Bajera,-,50101122
159,SMA PGRI Tabanan 1,Jl. Pitra,-,50101127
160,SMA PGRI Tabanan 6 Bajera,Jl. Sruti.,-,50101129
161,SMA Surya Wisata Kediri,Jl. Wagimin. Kediri. Tabanan,-,50101130
162,SMAN 1 Baturiti,Perean,-,50101131
163,SMAN 1 Marga,Jln. Wisnu. Marga. Tabanan,-,50101132
164,SMA Dwi Tunggal,Jl. Bedahulu No. 2 Tabanan,-,50101192
165,SMA Saraswati 1 Tabanan,Jl. Pahlawan No. 2 Tabanan,-,50101193
166,SMA 1 Tp 45 Tabanan,Jl. Gunung Agung No. 77 Tabanan,-,50101306
167,MA Bali Bina Insani,Meliling Kerambitan,-,50101357
168,SMA Saraswati Selat,Selat - Karangasem,-,50103856
169,SMA Swastyastu Abang,Abang - Karangasem,-,50103787
170,SMA Dharma Kirti Sengkidu,Jln Raya Sengkidu,-,50103665
171,SMA Jagadhita Amlapura,Desa Bugbug,-,50103667
172,SMA Negeri 1 Kubu,Desa Sukadana,-,50103669
173,SMA Negeri 1 Manggis,Desa Ulakan,-,50103670
174,SMA Negeri 1 Rendang,Jln. Astinapura,-,50103671
175,SMA Pariwisata Kertha Wisata,Jln Kihajar Dewantara - Jasri,-,50103672
176,SMA Pariwisata Mahardika Abang,Desa Datah,-,50103673
177,SMA Saraswati Amlapura,Jln. Letda Bajra No. 6,-,50103674
178,SMA Kerta Wisata,Buleleng,-,50103722
179,SMA Negeri 2 Gerokgak,Desa Gerokgak,-,50103723
180,SMA Negeri 2 Tejakula,Desa Tejakula,-,50103724
181,SMA Wirabakti Buleleng,Desa Sawan,-,50103725
182,SMA Negeri 1 Bebandem,Jungutan,-,50103745
183,SMK Restumuning,Perean Tengah,-,50103855
184,SMK Pariwisata Bali Global,Jalan Cok Rai Pudak,-,50103861
185,MA Raudlotul Huffadz,Jalan Ahmad Yani Gg. Kamboja I/4 Kediri Tabanan,-,50103876
186,SMA Nasional Plus Jembatan Budaya,Jln. Raya Kuta No1. 1 Kuta,-,50103878
187,SMA TaMAN Rama,Perum Puri Gading,-,50103889
188,SMK Kesehatan Panca AtMA Jaya,Jl. Ngurah Rai No.  27 Semarapura,-,50103894
189,SMA Satu Atap Nusa Penida,Smpn 5 Tanglad,-,50104096
190,MA Syamsul Huda,Desa Tegalinggah,-,50104189
191,SMA Santi Yoga Pejeng,Jl.Pahlawan,-,50102083
192,SMAN 1 Negara,Jl. Ngurah Rai No. 155 Negara,-,50100843
193,SMA Diponegoro Negara,Jl. Udayana No.333 Negara,-,50100851
194,SMA PGRI Negara,Jl. Kunti,-,50100849
195,MA Syamsul Huda,Desa Tegalinggah,-,50104276
196,SMA N 1 Sukasada,Jelantik Gingsir,-,50104277
197,SMA N 2 Gerokgak,Raya Seririt-Gilimanuk,-,50104278
198,SMA Sidhi Karya Kubutambahan,Raya Air Sanih,-,50104279
199,SMK Dusa Dua Sawan,Jl Singaraja - Amlapura,-,50104280
200,SMK Kertha Wisata Sawan,Desa Suwug,-,50104281
201,SMK Kerta Wisata Tejakula,Jl Singaraja - Amlapura,-,50104282
202,SMK N 1 Sukasada,Jl Srikandi,-,50104283
203,SMK N 1 Tejakula,Jl Singaraja - Amlapura,-,50104284
204,SMK Nusa Dua Gerokgak,Desa Gerokgak,-,50104285
205,SMK PGRI  Gerokgak,Desa Gerokgak,-,50104286
206,SMK Ti Global Singaraja,Jl Gempol,-,50104287
207,SMK Widya Pramas Mandala,Desa Gerokgak,-,50104288
208,SMA Bina Ilmu Negara,Jendral Sudirman Negara,-,50104405
209,MA Al Amin Tabanan,Jalan Rama Gang I No.1 Tabanan,-,50104637
210,MA Al Irsyad Candikuning,Jln. Raya Candikuning Km.50,-,50104638
211,SMA Gurukula Bangli,Jln. Pucak Hyang Ukir Bangli,-,50105402
212,SMKN 3 Kintamani,Kintamani,-,50105403
213,SMA PGRI 1 Amlapura,Jln. Jendral Sudirman Amlapura,-,50102787
214,SMA Widya Waskita Wisata,Jln. Pura Candi Gora. Dsn. Tunas Sari,-,50102788
215,SMK PGRI Tembuku,Tembuku,-,50105411
216,SMK Tp. 45 Tabanan,Jalan Gunung Agung No. 77,-,50105440
217,SMAN 1 Pupuan,Pujungan. Pupuan. Tabanan,-,50101133
218,Madrasah Aliyah Miftahul Ulum,Desa Pegayaman,-,50105445
219,SMA Harapan Mulia,Jl. Pura Demak No. 19 Denpasar,-,50105446
220,MA Tawakkal,Jl. Raya Puputan No. 26 Renon,-,50105448
221,SMAN 2 Mendoyo,Desa Penyaringan,-,50105469
222,SMA Negeri 17 Cigeulis Pandeglang,Jl. Raya Cibaliung,-,20600434
223,SMA Daar El-Falah,Jl Raya Cioma Km. 1,-,20600442
224,SMAN 5 Pandeglang,Alun-Alun Barat Sukajadi Cibaliung,-,20600465
225,SMA Triguna Utama,Jl.Ir.H.Juanda Km.2,-,20603380
226,SMA Wipama,Jl. Raya Serang Km.18.5 Sukanagara Cikupa,-,20603382
227,MA Daarul Muttaqien,Jl. Raya Mauk Km.7 Cadas,-,20603976
228,MA Mambaul Falah Petir,Jl. H Arman No. 1 Petir,-,20605705
229,SMA Manba'ul Ulum Asshiddiqiyah Batu Ceper,Batu Ceper No.32,-,20606513
230,SMA At- Thahirin,Jl. Raden Fatah Km.1 Ciledug,-,20606545
231,SMA Raudah Barmawiyah,Jl. H. Hajirin No. 45,-,20606836
232,SMA Plus Abdi Negara,Jl. Perintis Kemerdekaan Ii,-,20606842
233,MA At Tasyri,Koang Jaya,-,20607064
234,SMA Nurul Iman,Pangarengan Rajeng Tangerang,-,20613468
235,SMAN 1 Cikande,Jl. Raya Jakarta,-,20613970
236,SMAN 10 Pandeglang,Jl. Raya Labuan Km.1 Menes,-,20600452
237,MA Daar El Maarif,Jl.  Rejo Km 1Batur Jaya,-,20600958
238,SMA Al-Bayan Rangkasbitung,Jl.Raya Cikande Km 10 Cigalempong Nameng.Rangkas,-,20601865
239,SMAN 1 Malingping,Jl. Raya Bayah Km 04 No. 39,-,20601875
240,SMA PGRI 58 Tigaraksa,Jl. Aria Wangsa Kara,-,20603324
241,SMA Kristen Ora Et Labora,Jl. Anggrek Loka Sektor 21,-,20603349
242,SMA Maria Mediatrix,Jl. Pinus Ii No. 1 Pondok Rejeki Kotabaru Pasarkemis,-,20603352
243,MA Al Amanah Al Gontory,Taman Makam Bahagia,-,20603985
244,MA Madinatunnajah,Jln Sumatra (Jombang-Bsd) No. 97 Ciputat Kode Pos 15414 Tangerang Selatan Banten,-,20604017
245,SMAN 1 Bojonegara,Jl. Kh. Bakri No.2 Bojonegara,-,20605354
246,SMA Nurul Islam,Jl. Banten No. 60 Serang,-,20605362
247,MA Assalamiyah,Curug Sari,-,20605653
248,MA Al-Khairiyah,Jl. Raya Walantaka Km. 2,-,20605682
249,MA Darul Muttaqien,Jl. Raya Bojonegara,-,20605697
250,SMA Muhammadiyah 1,Jl. Raden Fatah,-,20606519
251,MA Al-Makmur,Jl. Pesantren,-,20607067
252,SMA Terpadu Birrul Walidain,Jl Raya Saketi Pasar Picung,-,20600435
253,MA Ar Rohman,Jl. Masjid Agung No. 3,-,20600959
254,MA Al-Ihya,Kaduronyok,-,20600968
255,MA Wasilatul Falah,Ds. Pasindangan - Kec. Cileles,-,20602261
256,SMA 1926 Pamulang,Jl. Pamulang Permai 11,-,20603181
257,SMA Darussalam,Otista No. 36,-,20603185
258,SMA Islamic Village,Jl. Islamic Village Kelapa Dua,-,20603346
259,MA Al Munawaroh,Telagasari Balaraja,-,20603968
260,MA Al Istiqomah,Jl. Kawasan No. 56 Pasir Awi,-,20603977
261,MA Darul Falah Al Arobi,Kp. Cayur Ds. Rancailat Kresek,-,20603992
262,MA Subulussalam,Jl. Kh. Astari No.1 Rt.08/03 Kandang Gede 15620 Kresek,-,20604005
263,MA Islamiyah Ciputat,Jl. Ki Hajar Dewantara,-,20604015
264,SMAN 2 Kota Serang,Jl. Serang Pandeglang Nancang Serang,-,20605103
265,SMAN 3 Cilegon,Jl. Lebak Kayang Bulakan,-,20606270
266,SMA Islam Al- Ayaniah,Jl. Halim Perdana Kusuma No.56,-,20606503
267,MA Al Jamiatsubban,Jl. Raya Pasar Citeureup,-,20600965
268,SMA Al - Jumhuriah,Jl. Raya Kp. Melayu Km 9 Teluk Naga,-,20603184
269,MA Mathlaul Falah,Jl. Ki Adung No. 1 Lempuyang,-,20605686
270,MA Al Khairiyah Pabuaran,Pabuaran Ds. Rawa Arum,-,20606346
271,MAN Pulo Merak,Jl. Puskesma Rawa Arum,-,20606354
272,SMA Mutiara Bangsa,Jl.Poris Indah No.88,-,20606516
273,SMA Al Mu In,Jl.Maulana Hasanudin No.49,-,20606549
274,SMA Yp Karya,Jl.Kh.Hasyim Ashari Km.03,-,20606845
275,MA Annizhomiyyah,Kp. Jaha Sukamaju,-,20600961
276,MA Al-Falah,Jl. Raya Nanggor Km. 4,-,20600964
277,MA Darul Iman,Kadupandak Kadulimus,-,20600993
278,SMA Daarussalam,Jl. Mesjid Islahul Umah,-,20603167
279,SMA PGRI 56 Ciputat,Pendidikan No.30,-,20603323
280,SMA Katolik Ricci Ii,Jl. Utama Ii No. 1-2,-,20603347
281,SMA Plus Nurul Haq,Jl.Raya Serang Km 23 Tng,-,20603355
282,MA Daarul Muqimien,Jl. Raya Mauk Km.16 Ds. Buaranjati Sukadiri,-,20603975
283,MA Nur El Ihsan Alfalahiyah,Selon Sukasirna,-,20604022
284,SMAN 4 Kota Serang,Jl. Raya Banten Kasemen,-,20605106
285,SMA Agro Taktakan,Jl.Raya Gunung Sari,-,20605336
286,SMAN 1 Anyer,Jl.Ayar Labuan,-,20605353
287,SMA PGRI 1 Serang,Jl. Kh Abdul Fatah Hasan 17B,-,20605363
288,MA Ashabul Maimanah Sampang,Kp. Sampang Ds. Susukan Tirtayasa,-,20605623
289,MAN 2 Serang,Jl. Kh. Abd. Hadi No.3 Serang,-,20605663
290,MA Al Inayah Jerang Ilir,Jl. Khm. Syadeli No.122 Jerang,-,20606351
291,MA Al Bustaniyah Curug,Jl. Bukit Baja Sejahtera,-,20606353
292,SMA Santa Patricia,Perum Duta Garden,-,20606835
293,MA Manbaul Khair,Jl. Hos Cokroaminoto,-,20607060
294,SMA Almubarak,Jl. Raya Ciledug Jombang No. 15,-,20603157
295,SMAN 10 Kabupaten Tangerang,Jl. Raya Daru-Tipar Raya Jambe,-,20603362
296,MA Nurul Islam,Kp. Rawakidang Ds. Buaran Mangga Pakuhaji,-,20603996
297,SMAN 1 Baros,Jln. Baros Serang,-,20605097
298,SMA Asy-Syarif,Jl. Asy - Syarif Kejaban,-,20605322
299,SMAN 5 Kota Serang,Jl. Ayip Usman No. 26,-,20605327
300,MA Assaadah,Kp. Pasir Manggu,-,20605654
301,MA Annawawi,Jl. Pesantren Annawawi Tanara,-,20605661
302,MA Kulni,Kp. Bauan Masjid Parigi,-,20605704
303,SMA Budi Luhur,Jl.Raden Saleh  Karang Tengah,-,20606542
304,MA Al-Mizan,Jl. Raya Cipanas Kp. Ancol Kec. Rangkasbitung,-,20613867
305,MAN Panimbang,Panimbang,-,20600971
306,SMAN 1 Cimarga,Jl. Leuwidamar Km.11 Pasir Roko,-,20601880
307,SMAN 4 Kabupaten Tangerang,Jl. Hamid Achari No. 18 Cikupa,-,20603358
308,SMA Stella Maris,Artha Rencana Kav C1/1,-,20603377
309,MA Al-MuAwanah,Bugel. Desa Pengadegan,-,20603969
310,MAN Mauk,Jl. Raya Mauk Km. 16,-,20603982
311,MA Soebono Mantofani,Jl.Sumatra,-,20604004
312,SMAN 1 Waringinkurung,Jl. Waringinkurung,-,20605096
313,SMA Medanggili Ciruas,Jl. Raya Jakarta Km. 10,-,20605358
314,SMA Muhamadiyah Serang,Jl. Empat Lima No. 45,-,20605359
315,MA Al-Islam,Tegal Duren,-,20605680
316,MA Al-Hidayah,Kubang Welut Samang Raya,-,20606343
317,SMA Setia Bhakti,Jl. Kisamaun No.171,-,20606834
318,SMA Yislah,Jl. Al Hidayah,-,20606844
319,MA Nurul Amal,Jl. Raya Jiput Kadu Bangkong,-,20600982
320,SMA Negeri 1 Banjarsari,Gunung Kencana,-,20601867
321,SMA Muhammadiyah 8 Ciputat,Jl.Raya Dewi Sartika Gang Nangka No.4,-,20603317
322,SMA Raudlatul Falah,Jl. Raya Serang Km - 33 Pasirmuncang Jayanti,-,20603374
323,MA Tasywiquth Thulab Tbs,Jl. Raya Cadas Ds. Mekarsari Rajeg 15540,-,20604008
324,MA Nurul Falah,Kp. Cicayur I,-,20604025
325,SMAN 1 Cikeusal,Jl. Raya Cilayang Cikeusal,-,20605228
326,MAN Kragilan,Jl. Raya Serang Km.15,-,20605664
327,MA Al-Khairiyah,Jl. K. Sarnaja No. 5 Ranca-Ranji,-,20605681
328,MA Nasyatil Falah,Kp. Asem Desa Labuan,-,20605689
329,SMA Maarif,Jl. Pabean No 2,-,20606291
330,SMA Al Khairiyah 3 Cilegon,Jl. H. Enggus Arja 1 Citangkil,-,20606296
331,MA Bany Nawawy Gelereng,Jl. Raya Anyer Gelereng Randakari,-,20606342
332,SMA Dharma Bhakti,Jl. Hasyim Ashari Km.9,-,20606509
333,MA At Taqwa,Jl. Kh. Mu`Min Batuceper,-,20607065
334,MA Syekh Mansyur,Kalahang Kadu Dodol,-,20600978
335,MA Al Idrus,Jl. Maulana Hasanuddin - Kec. Kalanganyar,-,20602249
336,MA DarunnaIm,Kp. Cirende Ds. Kalanganyar - Kec. Kalanganyar,-,20602253
337,SMA Mulia Budi,Jl. Gatot Soebroto Tanah Merah Kec Sepatan,-,20603318
338,SMA PGRI Balaraja,Jl. Raya Serang Km. 24.5,-,20603353
339,MA Daar El Hikam,Pasir Bolang Rt04/01,-,20603971
340,SMA Manggala,Jl. Hos. Cokroaminoto,-,20606523
341,MA Daar El Ulum,Bandrong Giri Jaya,-,20600975
342,SMAN 1 Maja,Jl.Kebon Kalapa,-,20601876
343,MA Daarul Fikri,Bukit Taman Salam,-,20602237
344,MA Sajira,Jl. Raya Sajira,-,20602241
345,SMA Dwi Putra,Jl. Aria Putra,-,20603340
346,Mak Yapin Cihuni,Jl. Gading Serpong Cihuni,-,20603963
347,MA Daar El- Qolam,Kampung Gintung,-,20603972
348,MA Daarul Hikmah,Jl. Surya Kencana No. 24,-,20603974
349,SMA Al-Furqon Kragilan,Jl. Raya Serang Km 15 Kragilan,-,20605339
350,SMA Plus Assaadah,Jl. Raya Serang Pamarayan Km 25,-,20605356
351,MA Nur Et Taqwa,Kampung Kukun,-,20605691
352,MA Darun NiAm,Kamp. Geredug,-,20605699
353,SMA Al Wasatiyah,Jl. Dongkal Cipondoh Indah,-,20606548
354,SMAN 4 Tangerang,Jl. Padasuka 1 Pabuaran Tumpeng,-,20606846
355,SMA Negeri 9 Kota Tangerang Selatan,Jl. Hidup Baru No.31,-,20613469
356,MA Mathlaul Anwar,Cimanyang Kec. Bojongmanik,-,20613653
357,SMA Bina Insani,Jl. H. Mansyur No.3,-,20606543
358,SMA Darul Hasan,20607995,-,20607514
359,SMAT Daarussaadah,Jln. Leuwidamar Km. 08 Cimarga Telp. (0252) 5500452/081806346284,-,20607995
360,SMA Al-Irsyad Waringin Kurung,Jl. Kubang Putih No.3,-,20613798
361,SMA  Daarul Ahsan,Desa Dangdeur Tangerang,-,20613472
363,SMA Islam Pagelaran,Jl Raya Pagelaran,-,20600440
364,SMA Ypp Pandeglang,Jl. Bank Jabar No. 3,-,20600433
365,SMA Islam Al - Bina,Jln Yonif 320,-,20600441
